hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(3, 1)",0.6455531934245634,0.1821541722820345,0.2394391775722579,0.206904806338333,0.0717613720754252,0.6388001353668913,0.1806859052568846,0.23988355181899704,0.20611851853441635,0.08713866584432059,0.6406881264333429,0.18484667501719784,0.2198079868111655,0.20081703900646916,0.08979018793101357,0.6443433033432495,0.18375874076062906,0.26282548572236497,0.21629281748929668,0.07042563542009878
"(4, 1)",0.6523401181677004,0.18049426936596058,0.24202424689231597,0.20677905431710045,0.0715448059202178,0.6453084438642058,0.1852891304211781,0.24667017324335047,0.2116185553285258,0.08823087111105116,0.6473518991470606,0.19018169532320364,0.21768691652115035,0.20300687834969605,0.09095933039399251,0.6508541340537339,0.18105586752891728,0.26634487427694203,0.2155709535904958,0.07035445931704323
"(5, 1)",0.6564711061049073,0.1866710058028369,0.24551989735693666,0.21208889798074043,0.06952412774366164,0.6500025325311423,0.19763698422670753,0.23760195000024467,0.2157846146178959,0.08652519404619241,0.6521842634620697,0.2031125084800563,0.20936055223268316,0.20618920841652316,0.08920681178761129,0.6549223908165018,0.18888186921195502,0.2664472964476705,0.22105793871824653,0.06848646431723765
"(6, 1)",0.6604338622018258,0.1925308440123451,0.24720854862613337,0.2164703518076019,0.07018702130293297,0.6536707197976346,0.20140622690629115,0.23841615864529273,0.2183540471048096,0.08695349619987397,0.6563778722646668,0.2058890209125524,0.21441058578189595,0.21006341608125273,0.09022263400332907,0.6584942063091452,0.19405802009068024,0.26540412222607845,0.22419169607053435,0.06875540723278876
"(7, 1)",0.6617547417433042,0.19345202246715784,0.2502604303162369,0.21821964240345992,0.06934032239106216,0.6548777960932296,0.19990459961386853,0.24326003677737637,0.21946155564229067,0.0859327255292245,0.6577365615783498,0.20300634876915732,0.21424484854428746,0.20847424633226072,0.08905094795988959,0.6596259957579373,0.19310456160244477,0.27166143845538987,0.22574397856422235,0.0679519432786589
"(8, 1)",0.662229844587284,0.18978553457544806,0.25201760478518265,0.21651858751297037,0.06964319863637315,0.655245198752075,0.19564543815464358,0.2420182397268592,0.216375116079872,0.08532820779445208,0.6579774755786227,0.20314021017780257,0.21851700155091058,0.21054822916694077,0.08867575938800112,0.6602014106312522,0.1918804612455079,0.2662380471726754,0.22302473422865352,0.06822471897664478
"(9, 1)",0.6626269752593826,0.19199291400389887,0.25012060974272704,0.21723553855574465,0.06960605785034397,0.6555160494557266,0.19453065167272335,0.24113899720705098,0.21534172229353274,0.08524401934949632,0.6582734013382905,0.1979671390722452,0.21880468068324863,0.20786499757057,0.08838253809264893,0.6605569730365537,0.19360470948893815,0.26928960860137496,0.22525978135461625,0.06841057881441717
"(10, 1)",0.6628735884021865,0.19205616660326474,0.254378006120622,0.21886704785892153,0.06905444590716452,0.6560898182417348,0.1975216852860187,0.24113720991372264,0.21716111816512432,0.08471490840272625,0.6588167380117644,0.2054840464365382,0.21598730847050038,0.21060480436799442,0.088205310876446,0.6608786093086852,0.19239672816728823,0.2715289550971614,0.22521401357121026,0.06777472200052581
"(12, 1)",0.6633850193540674,0.19188555545246036,0.25206475363759734,0.2178963918771653,0.06998484952228058,0.6566059590286556,0.200384581429885,0.23924609607647881,0.21809774100819107,0.08549715127253109,0.6592653432792192,0.20207290991831697,0.21877996254811427,0.2100948172449229,0.08903462872860952,0.6614539012012637,0.192638091483616,0.26694453196097817,0.22378428837681869,0.06857622345660384
"(15, 1)",0.6645287058841943,0.1996246333157383,0.2473614422326009,0.22094396180712797,0.06988349861206132,0.6578910786784723,0.19567723753871819,0.24196011016555144,0.21637132296923073,0.0856676479239599,0.6607702944054592,0.20955835456855526,0.21560199716714637,0.2125372207619591,0.08890108545371633,0.66241967972649,0.19968854192412663,0.26561184948955147,0.22798022061057716,0.06864702572750246
