hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(3, 1)",0.5595625589611,0.10662524124706325,0.48526482027278345,0.17483476035207388,0.06179709126410249,0.5538190031045646,0.0961695601920299,0.4610076081757505,0.15914111862594152,0.07431638011795734,0.5533659010034533,0.0809680196374344,0.43850518039947484,0.1366957758559199,0.06532644428349822,0.5598220194622131,0.1238781880063487,0.502373562164626,0.1987479526125339,0.06449796086813243
"(3, 2)",0.5595625589611,0.10662524124706325,0.48526482027278345,0.17483476035207388,0.06179709126410249,0.5538190031045646,0.0961695601920299,0.4610076081757505,0.15914111862594152,0.07431638011795734,0.5533659010034533,0.0809680196374344,0.43850518039947484,0.1366957758559199,0.06532644428349822,0.5598220194622131,0.1238781880063487,0.502373562164626,0.1987479526125339,0.06449796086813243
"(3, 3)",0.5595625589611,0.10662524124706325,0.48526482027278345,0.17483476035207388,0.06179709126410249,0.5538190031045646,0.0961695601920299,0.4610076081757505,0.15914111862594152,0.07431638011795734,0.5533659010034533,0.0809680196374344,0.43850518039947484,0.1366957758559199,0.06532644428349822,0.5598220194622131,0.1238781880063487,0.502373562164626,0.1987479526125339,0.06449796086813243
"(4, 1)",0.5221124200306121,0.0782625786230396,0.7725152741432377,0.14212649561469773,0.06068555517824819,0.5142859528850562,0.06776363719805996,0.7061441708474729,0.12366045905048606,0.06910318129617579,0.5113752688463801,0.05530374490126168,0.6749706973736879,0.10223117530197483,0.056407173718588624,0.5245404973284681,0.0906208189333897,0.7973171532866306,0.16274455117585604,0.06454668578163986
"(4, 2)",0.5221124200306121,0.0782625786230396,0.7725152741432377,0.14212649561469773,0.06068555517824819,0.5142859528850562,0.06776363719805996,0.7061441708474729,0.12366045905048606,0.06910318129617579,0.5113752688463801,0.05530374490126168,0.6749706973736879,0.10223117530197483,0.056407173718588624,0.5245404973284681,0.0906208189333897,0.7973171532866306,0.16274455117585604,0.06454668578163986
"(4, 3)",0.5221124200306121,0.0782625786230396,0.7725152741432377,0.14212649561469773,0.06068555517824819,0.5142859528850562,0.06776363719805996,0.7061441708474729,0.12366045905048606,0.06910318129617579,0.5113752688463801,0.05530374490126168,0.6749706973736879,0.10223117530197483,0.056407173718588624,0.5245404973284681,0.0906208189333897,0.7973171532866306,0.16274455117585604,0.06454668578163986
"(5, 1)",0.5123193784331125,0.08842891295862006,0.7634271906707176,0.15849868611950327,0.06784809297536679,0.5027947705833449,0.07300889611800086,0.7192386851263152,0.1325616478726521,0.06927675472398961,0.5006582565274101,0.06000545539943121,0.6834154448189895,0.11032419180391558,0.05819220241190265,0.5139030964789197,0.10122821970096313,0.8003698359907073,0.1797253511988461,0.0679706823604083
"(5, 2)",0.5123193784331125,0.08842891295862006,0.7634271906707176,0.15849868611950327,0.06784809297536679,0.5027947705833449,0.07300889611800086,0.7192386851263152,0.1325616478726521,0.06927675472398961,0.5006582565274101,0.06000545539943121,0.6834154448189895,0.11032419180391558,0.05819220241190265,0.5139030964789197,0.10122821970096313,0.8003698359907073,0.1797253511988461,0.0679706823604083
"(5, 3)",0.5123193784331125,0.08842891295862006,0.7634271906707176,0.15849868611950327,0.06784809297536679,0.5027947705833449,0.07300889611800086,0.7192386851263152,0.1325616478726521,0.06927675472398961,0.5006582565274101,0.06000545539943121,0.6834154448189895,0.11032419180391558,0.05819220241190265,0.5139030964789197,0.10122821970096313,0.8003698359907073,0.1797253511988461,0.0679706823604083
"(6, 1)",0.52479483510522,0.10270557368917412,0.7495506463690974,0.1806570074411797,0.07539562132811076,0.5154478498907836,0.0830465038083766,0.7157406617008375,0.14882502412230594,0.07449104352470552,0.513266100737374,0.06868668023353224,0.6659283361100755,0.12452891831289871,0.06272079057989269,0.5263292863098767,0.11679692879849235,0.7878842366230947,0.2034362217399299,0.07416522115311985
"(6, 2)",0.52479483510522,0.10270557368917412,0.7495506463690974,0.1806570074411797,0.07539562132811076,0.5154478498907836,0.0830465038083766,0.7157406617008375,0.14882502412230594,0.07449104352470552,0.513266100737374,0.06868668023353224,0.6659283361100755,0.12452891831289871,0.06272079057989269,0.5263292863098767,0.11679692879849235,0.7878842366230947,0.2034362217399299,0.07416522115311985
"(6, 3)",0.52479483510522,0.10270557368917412,0.7495506463690974,0.1806570074411797,0.07539562132811076,0.5154478498907836,0.0830465038083766,0.7157406617008375,0.14882502412230594,0.07449104352470552,0.513266100737374,0.06868668023353224,0.6659283361100755,0.12452891831289871,0.06272079057989269,0.5263292863098767,0.11679692879849235,0.7878842366230947,0.2034362217399299,0.07416522115311985
"(7, 1)",0.5379654270135256,0.11704445674632252,0.7499864820916123,0.2024881845188836,0.08106340121043441,0.5295260379389531,0.09393979831985673,0.7150678021406124,0.16606352049073156,0.07876449019089767,0.5284872143345571,0.07793980509837499,0.6694201888871707,0.13962341969241812,0.06608717552374574,0.5389343194605185,0.133324913956463,0.7707300889803412,0.22732582080328156,0.0788456489578762
